Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final	Total
OG0000207	6	0	6	0	0	0	0	0	12
OG0000208	6	0	6	0	0	0	0	0	12
OG0000209	12	0	0	0	0	0	0	0	12
OG0000210	6	0	6	0	0	0	0	0	12
OG0000211	12	0	0	0	0	0	0	0	12
OG0000212	12	0	0	0	0	0	0	0	12
OG0000213	12	0	0	0	0	0	0	0	12
OG0000214	0	0	12	0	0	0	0	0	12
OG0000215	0	0	12	0	0	0	0	0	12
OG0000216	0	0	12	0	0	0	0	0	12
OG0000217	0	0	12	0	0	0	0	0	12
OG0000218	0	0	12	0	0	0	0	0	12
OG0000219	0	0	12	0	0	0	0	0	12
OG0000220	0	0	12	0	0	0	0	0	12
OG0000221	0	0	0	1	5	6	0	0	12
OG0000222	0	0	0	12	0	0	0	0	12
OG0000223	1	0	1	6	1	1	1	0	11
OG0000224	0	1	0	1	1	6	1	1	11
OG0000225	0	0	0	1	10	0	0	0	11
OG0000226	0	0	0	11	0	0	0	0	11
OG0000227	0	0	0	11	0	0	0	0	11
OG0000228	5	0	5	0	0	0	0	0	10
OG0000229	5	0	5	0	0	0	0	0	10
OG0000230	5	0	5	0	0	0	0	0	10
OG0000231	5	0	5	0	0	0	0	0	10
OG0000232	5	0	5	0	0	0	0	0	10
OG0000233	0	0	0	0	0	0	10	0	10
OG0000234	4	0	4	0	1	0	0	0	9
OG0000235	2	0	2	2	1	1	1	0	9
OG0000236	9	0	0	0	0	0	0	0	9
OG0000237	0	0	9	0	0	0	0	0	9
OG0000238	0	0	0	0	4	5	0	0	9
